Title ,Content
Social services face cuts over £646m budget gap,"['Councils', 'warn', 'without', 'extra', 'funding', 'cut', 'made', 'support', 'community']"
Major esports event could be hosted in Wales,"['Fans', 'organiser', 'say', 'Wales', 'could', 'host', 'major', 'competitive', 'gaming', 'event']"
Heavy rain and wind warnings for most of Wales,"['Met', 'Office', 'weather', 'warning', 'wind', 'rain', 'issued', 'across', 'country']"
Murder probe after man found outside hospital,"['investigation', 'launched', '30yearold', 'found', 'seriously', 'injured', 'outside', 'hospital']"
Taylor Swift leads Wales' 2024 summer of live music,"['world', 'biggest', 'artist', 'making', 'Wales', 'mustvisit', 'gig', 'destination', 'summer']"
Men sought after firework thrown in boy's face,"['Images', 'two', 'people', 'officer', 'want', 'speak', 'released', 'following', 'Bonfire', 'Night', 'incident']"
Comedy duo's lifelong serial killer fascination,"['Kiri', 'PritchardMcLean', 'Rachel', 'Fairburn', 'share', 'interested', 'thing', 'strange', 'macabre']"
Re-examining the baffling death of an MI6 genius,"['Dig', 'deeper', 'story', 'Gareth', 'Williams', 'whose', 'body', 'found', 'inside', 'bag', 'bath', '2010']"
How do pensions work?,"['Martin', 'Lewis', 'answer', 'personal', 'finance', 'question']"
Steven Spielberg on his jaw-dropping career...,"['legendary', 'film', 'director', 'share', 'soundtrack', 'life', 'Lauren', 'Laverne']"
'Can I borrow your bike?',"['Watch', 'policeman', 'borrows', 'member', 'public', 'bike', 'chase', 'drug', 'dealer']"
How to get into cycling,"['Road', 'track', 'BMX', 'mountain', 'many', 'many', 'way', 'reason', 'start', 'cycling']"
How to improve your cycling warm-up,"['Got', 'big', 'cycling', 'race', 'coming', 'Make', 'sure', 'make', 'warmup', '20minute', 'guide']"
"January 1, 2024 Israel-Hamas war","['live', 'coverage', 'Israels', 'war', 'Hamas', 'moved']"
Multiple dead in powerful Japan earthquake,"['death', 'toll', 'risen', 'least', '15', 'people', '75', 'magnitude', 'earthquake', 'struck', 'west', 'coast', 'Japan', 'Monday', 'according', 'local', 'authority']"
Israel to pull some troops from Gaza in war against Hamas,"['Israel', 'Defense', 'Forces', 'anticipates', 'warfare', 'Gaza', 'last', 'throughout', 'year', 'begin', 'reduce', 'number', 'soldier', 'territory', 'prepares', 'new', 'phase', 'conflict', 'military', 'spokesman', 'said']"
Where to go in 2024: The best places to visit,"['many', 'place', 'see', 'world', 'many', 'people', 'eager', 'see']"
This country has more of the world’s 50 best restaurants than any other,"['wouldnt', 'far', 'guessed', 'Italy', 'France', 'country', 'year', 'Worlds', '50', 'Best', 'restaurant']"
A brief history of the Times Square New Year’s Eve ball drop,"['last', 'day', 'year', 'become', 'ritual', 'large', 'crowd', 'gather', 'brightly', 'lit', 'chaos', 'New', 'Yorks', 'Times', 'Square', 'ring', 'new', 'beginning', '1159', 'pm', 'dazzling', 'ball', 'descends', 'pole', 'attendee', 'million', 'people', 'tuning', 'home', 'count', '60', 'stroke', 'midnight', 'crowd', 'erupts', 'cacophony', 'sound', 'often', 'pulling', 'loved', 'one', 'ceremonial', 'kiss']"
In photos: The angsty era of emo music,"['CNN', 'sun', 'setting', 'Badlands', 'Amy', 'Fleisher', 'Madden', 'squint', 'camera', 'viewfinder', 'searching', 'amidst', 'red', 'rock', 'prairie', 'grass', 'figure', 'wearing', 'headtotoe', 'black']"
The secret history of the world’s most popular tarot cards,"['1908', 'article', 'British', 'artist', 'illustrator', 'costume', 'designer', 'Pamela', 'Colman', 'Smith', 'shared', 'thought', 'painting', 'viewed', 'Learn', 'everything', 'see', 'everything', 'feel', 'everything', 'Find', 'eye', 'within', 'look', 'door', 'unknown', 'country']"
Look of the week: The hidden meaning behind this royal scarf,"['part', 'matching', 'pajama', 'family', 'twee', 'tradition', 'Christmas', 'morning', 'coordination', 'recently', 'become', 'kind', 'visual', 'shorthand', 'allowing', 'internet', 'infer', 'kind', 'notion', 'inner', 'working', 'stranger', 'clan', 'come', 'matching', 'pjs', 'family', 'cant', 'relate', 'read', 'one', 'post', 'X', 'wish', 'family', 'matching', 'pjs', 'type', 'family', 'chimed', 'another']"
How leggings became a multibillion-dollar industry,"['could', 'predicted', 'one', 'derided', 'sartorial', 'mainstay', '1980s', 'decade', 'never', 'quite', 'enjoyed', 'style', 'resurgence', 'era', 'bookended', 'would', 'multibilliondollar', 'industry', 'right', 'end', '2020s', 'Yet', 'appears', 'legging', 'fact', 'last', 'laugh']"
Inside the $760M restoration of Notre Dame cathedral,"['spire', 'Notre', 'Dame', 'crowned', 'brand', 'new', 'golden', 'rooster', 'regained', 'place', 'Paris', 'skyline', 'last', 'week']"
